timestamp,phase,dataset,task,layer_seq_index,neuron_index,acc,f1,acc_drop,f1_drop,ckpt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,5,0.9418604651162792,0.9541284403669724,0.0116279069767442,0.0088345225959903,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,62,0.9418604651162792,0.9541284403669724,0.0116279069767442,0.0088345225959903,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,3,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,0,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,6,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,4,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,7,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,1,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,15,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,9,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,14,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,12,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,20,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,19,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,17,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,8,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,28,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,25,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,26,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,27,0.9534883720930232,0.9642857142857144,0.0,-0.0013227513227513,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,22,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,21,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,23,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,24,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,30,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,29,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,31,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,37,0.9534883720930232,0.9636363636363636,0.0,-0.0006734006734007,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,33,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,34,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,32,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,16,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,55,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,48,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,50,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,49,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,52,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
20250813-125422,per_neuron_scan,breast_cancer,clf,3,38,0.9534883720930232,0.9629629629629628,0.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt
